Parent,Child,Relationship
17790406,19532231,Managed-OWNERSHIP
17790406,19533375,Owned-OWNERSHIP
17790406,20413022,Owned-OWNERSHIP
17790406,20558782,Owned-OWNERSHIP
17790406,20897214,Owned-OWNERSHIP
17790406,21011779,Owned-OWNERSHIP
17997752,17774730,Owned-OWNERSHIP
17997752,17775563,Owned-OWNERSHIP
17997752,17775963,Owned-OWNERSHIP
17997752,17776356,Owned-OWNERSHIP
17997752,17801825,Owned-OWNERSHIP
17997752,17817637,Owned-OWNERSHIP
18155105,17799791,Owned-OWNERSHIP
18155105,17809273,Owned-OWNERSHIP
18155105,17818228,Owned-OWNERSHIP
18155105,18002946,Owned-OWNERSHIP
18155105,18131330,Owned-OWNERSHIP
18155105,18137992,Owned-OWNERSHIP
18155105,18160728,Owned-OWNERSHIP
18155105,18162704,Owned-OWNERSHIP
18155105,18181552,Owned-OWNERSHIP
18155105,18230863,Owned-OWNERSHIP
18155105,18299106,Owned-OWNERSHIP
18155105,18401523,Owned-OWNERSHIP
18155105,21213817,Owned-OWNERSHIP
18155105,22218955,Owned-OWNERSHIP
18155105,22522493,Owned-OWNERSHIP
18190502,18069135,Owned-OWNERSHIP
18190502,18400585,Owned-OWNERSHIP
18193570,17783577,Managed-OWNERSHIP
18193570,17786083,Managed-OWNERSHIP
18193570,17787687,Managed-OWNERSHIP
18193570,17803009,Owned-OWNERSHIP
18193570,17812965,Managed-OWNERSHIP
18193570,17813699,Managed-OWNERSHIP
18193570,17869776,Managed-OWNERSHIP
18193570,17906606,Managed-OWNERSHIP
18193570,17918373,Affiliated Purchasing-OWNERSHIP
18193570,18069041,Managed-OWNERSHIP
18193570,18075631,Managed-OWNERSHIP
18193570,18100804,Managed-OWNERSHIP
18193570,18125824,Managed-OWNERSHIP
18193570,18147441,Managed-OWNERSHIP
18193570,18183940,Owned-OWNERSHIP
18193570,18192252,Managed-OWNERSHIP
18193570,18192255,Managed-OWNERSHIP
18193570,18193580,Managed-OWNERSHIP
18193570,18194843,Managed-OWNERSHIP
18193570,18194850,Managed-OWNERSHIP
18193570,18199752,Managed-OWNERSHIP
18193570,18199765,Managed-OWNERSHIP
18193570,18200230,Managed-OWNERSHIP
18193570,18215533,Managed-OWNERSHIP
18193570,18224337,Managed-OWNERSHIP
18193570,18225163,Managed-OWNERSHIP
18193570,18225165,Managed-OWNERSHIP
18193570,18225808,Managed-OWNERSHIP
18193570,18227468,Managed-OWNERSHIP
18193570,18227469,Managed-OWNERSHIP
18193570,18245267,Managed-OWNERSHIP
18193570,18251008,Managed-OWNERSHIP
18193570,18257436,Managed-OWNERSHIP
18193570,18329625,Managed-OWNERSHIP
18193570,18331099,Managed-OWNERSHIP
18193570,18332686,Managed-OWNERSHIP
18193570,18725689,Owned-OWNERSHIP
18193570,18736935,Owned-OWNERSHIP
18193570,18737318,Owned-OWNERSHIP
18193570,18737790,Owned-OWNERSHIP
18193570,18740217,Owned-OWNERSHIP
18193570,18995642,Managed-OWNERSHIP
18193570,20988039,Owned-OWNERSHIP
18193570,22044026,Owned-OWNERSHIP
18193570,22044037,Owned-OWNERSHIP
18193570,22044048,Owned-OWNERSHIP
18200757,580304,Owned-OWNERSHIP
18200757,706391,Owned-OWNERSHIP
18200757,1291075,Owned-OWNERSHIP
18200757,1437331,Owned-OWNERSHIP
18200757,1466750,Owned-OWNERSHIP
18200757,1881707,Owned-OWNERSHIP
18200757,2323594,Owned-OWNERSHIP
18200757,2324313,Owned-OWNERSHIP
18200757,2885658,Owned-OWNERSHIP
18200757,17907355,Owned-OWNERSHIP
18200757,18261721,Owned-OWNERSHIP
18200757,18369560,Owned-OWNERSHIP
18200757,18403353,Owned-OWNERSHIP
18200757,18738892,Owned-OWNERSHIP
18200757,18997840,Owned-OWNERSHIP
18200757,20657830,Owned-OWNERSHIP
18200757,20657837,Owned-OWNERSHIP
18200757,22239256,Owned-OWNERSHIP
18245249,18084420,Owned-OWNERSHIP
18245249,18194531,Owned-OWNERSHIP
18245257,1900485,Owned-OWNERSHIP
18245257,6031375,Owned-OWNERSHIP
18245257,17778600,Owned-OWNERSHIP
18245257,17799853,Owned-OWNERSHIP
18245257,17845724,Owned-OWNERSHIP
18245257,17891637,Owned-OWNERSHIP
18245257,18105204,Owned-OWNERSHIP
18245257,18159402,Owned-OWNERSHIP
18245257,18245276,Owned-OWNERSHIP
18245257,18245281,Owned-OWNERSHIP
18245257,18267513,Owned-OWNERSHIP
18245257,18290669,Owned-OWNERSHIP
18245257,18956791,Owned-OWNERSHIP
18245257,18956794,Owned-OWNERSHIP
18245257,18965351,Owned-OWNERSHIP
18245257,19533057,Owned-OWNERSHIP
18245257,22220641,Owned-OWNERSHIP
18245257,22220642,Owned-OWNERSHIP
18245257,22220646,Owned-OWNERSHIP
18252565,17773686,Owned-OWNERSHIP
18252565,18252566,Owned-OWNERSHIP
18252565,18253086,Owned-OWNERSHIP
18302389,17786374,Owned-OWNERSHIP
18302389,17864606,Owned-OWNERSHIP
18302389,18056434,Owned-OWNERSHIP
18302389,18062743,Owned-OWNERSHIP
18302389,18162041,Owned-OWNERSHIP
18302389,18166376,Owned-OWNERSHIP
18302389,18225422,Owned-OWNERSHIP
18302389,18724163,Owned-OWNERSHIP
18408254,17905423,Owned-OWNERSHIP
18408254,18390902,Owned-OWNERSHIP
18408254,18395051,Owned-OWNERSHIP
18408254,18395552,Owned-OWNERSHIP
18408254,18398939,Owned-OWNERSHIP
18408254,18399301,Owned-OWNERSHIP
18408254,18406737,Owned-OWNERSHIP
18408254,18408618,Owned-OWNERSHIP
18408254,18723434,Owned-OWNERSHIP
18408254,18735437,Owned-OWNERSHIP
18408254,22236461,Owned-OWNERSHIP
17773293,2406421,Owned-OWNERSHIP
17773293,5171078,Owned-OWNERSHIP
17773293,15235227,Owned-OWNERSHIP
17773293,17837166,Owned-OWNERSHIP
17773293,17857536,Owned-OWNERSHIP
17773293,17899587,Owned-OWNERSHIP
17773293,17997752,Owned-OWNERSHIP
17773293,18024148,Owned-OWNERSHIP
17773293,18024307,Owned-OWNERSHIP
17773293,18025522,Owned-OWNERSHIP
17773293,18025699,Managed-OWNERSHIP
17773293,18057785,Owned-OWNERSHIP
17773293,18154711,Owned-OWNERSHIP
17773293,18165985,Owned-OWNERSHIP
17773293,18200757,Owned-OWNERSHIP
17773293,18203754,Owned-OWNERSHIP
17773293,18214196,Owned-OWNERSHIP
17773293,18245249,Owned-OWNERSHIP
17773293,18250550,Owned-OWNERSHIP
17773293,18255978,Owned-OWNERSHIP
17773293,18269259,Owned-OWNERSHIP
17773293,18270577,Owned-OWNERSHIP
17773293,18302389,Owned-OWNERSHIP
17773293,18356188,Owned-OWNERSHIP
17773293,18362002,Owned-OWNERSHIP
17773293,18368801,Owned-OWNERSHIP
17773293,18369453,Owned-OWNERSHIP
17773293,18403542,Owned-OWNERSHIP
17773293,18956774,Owned-OWNERSHIP
17773293,18956785,Owned-OWNERSHIP
17773293,18957255,Owned-OWNERSHIP
17773293,18957950,Owned-OWNERSHIP
17773293,18966267,Owned-OWNERSHIP
17773293,19316713,Owned-OWNERSHIP
17773293,19532750,Owned-OWNERSHIP
17773293,19533126,Owned-OWNERSHIP
17773293,21013963,Owned-OWNERSHIP
17773293,21207687,Owned-OWNERSHIP
17773293,21210414,Owned-OWNERSHIP
17773293,21558086,Owned-OWNERSHIP
17773293,22222455,Owned-OWNERSHIP
17773293,22223548,Owned-OWNERSHIP
17790406,5789608,Owned-OWNERSHIP
17790406,17773687,Owned-OWNERSHIP
17790406,17773840,Owned-OWNERSHIP
17790406,17774625,Owned-OWNERSHIP
17790406,17784292,Owned-OWNERSHIP
17790406,17785768,Owned-OWNERSHIP
17790406,17788039,Owned-OWNERSHIP
17790406,17817609,Owned-OWNERSHIP
17790406,17846109,Owned-OWNERSHIP
17790406,17873385,Owned-OWNERSHIP
17790406,17996915,Owned-OWNERSHIP
17790406,18016820,Owned-OWNERSHIP
17790406,18018637,Owned-OWNERSHIP
17790406,18076217,Owned-OWNERSHIP
17790406,18112858,Owned-OWNERSHIP
17790406,18150058,Owned-OWNERSHIP
17790406,18154053,Owned-OWNERSHIP
17790406,18155132,Owned-OWNERSHIP
17790406,18156851,Owned-OWNERSHIP
17790406,18159340,Owned-OWNERSHIP
17790406,18170887,Owned-OWNERSHIP
17790406,18199762,Owned-OWNERSHIP
17790406,18212870,Owned-OWNERSHIP
17790406,18235614,Owned-OWNERSHIP
17790406,18248361,Owned-OWNERSHIP
17790406,18253073,Owned-OWNERSHIP
17790406,18273476,Owned-OWNERSHIP
17790406,18275568,Owned-OWNERSHIP
17790406,18286212,Owned-OWNERSHIP
17790406,18286809,Owned-OWNERSHIP
17790406,18343555,Owned-OWNERSHIP
17790406,18382425,Owned-OWNERSHIP
17790406,18384497,Owned-OWNERSHIP
17790406,18385886,Owned-OWNERSHIP
17790406,18403109,Owned-OWNERSHIP
17790406,18956775,Owned-OWNERSHIP
17790406,18956777,Owned-OWNERSHIP
17790406,18956778,Owned-OWNERSHIP
17790406,18956780,Owned-OWNERSHIP
17790406,18956783,Owned-OWNERSHIP
17790406,18956784,Owned-OWNERSHIP
17790406,18958991,Owned-OWNERSHIP
17790406,18958992,Owned-OWNERSHIP
17790406,19001598,Owned-OWNERSHIP
17790406,19582070,Owned-OWNERSHIP
17790406,20906948,Owned-OWNERSHIP
17790406,20907203,Owned-OWNERSHIP
17790406,20961886,Owned-OWNERSHIP
17790406,20976056,Owned-OWNERSHIP
17790406,21011287,Owned-OWNERSHIP
17790406,21016225,Owned-OWNERSHIP
17790406,21480443,Owned-OWNERSHIP
17790406,21556793,Owned-OWNERSHIP
17790406,21556801,Owned-OWNERSHIP
17790406,21556819,Owned-OWNERSHIP
17790406,21556826,Owned-OWNERSHIP
17790406,21556834,Owned-OWNERSHIP
17790406,22236148,Owned-OWNERSHIP
17997752,17774342,Owned-OWNERSHIP
17997752,17775115,Owned-OWNERSHIP
17997752,17776355,Owned-OWNERSHIP
17997752,17818224,Owned-OWNERSHIP
17997752,17852220,Owned-OWNERSHIP
17997752,18021446,Owned-OWNERSHIP
17997752,18962239,Owned-OWNERSHIP
18155105,6133701,Owned-OWNERSHIP
18155105,17784360,Owned-OWNERSHIP
18155105,17788806,Owned-OWNERSHIP
18155105,17809582,Owned-OWNERSHIP
18155105,17817636,Owned-OWNERSHIP
18155105,17818226,Owned-OWNERSHIP
18155105,18013891,Owned-OWNERSHIP
18155105,18084207,Owned-OWNERSHIP
18155105,18085517,Owned-OWNERSHIP
18155105,18140472,Owned-OWNERSHIP
18155105,18163334,Owned-OWNERSHIP
18155105,18218885,Owned-OWNERSHIP
18155105,18247706,Owned-OWNERSHIP
18155105,18247714,Owned-OWNERSHIP
18155105,18266934,Owned-OWNERSHIP
18155105,18362079,Owned-OWNERSHIP
18155105,18398344,Owned-OWNERSHIP
18155105,18974865,Owned-OWNERSHIP
18155105,19241260,Owned-OWNERSHIP
18155105,19531227,Owned-OWNERSHIP
18155105,19673326,Owned-OWNERSHIP
18155105,20742462,Owned-OWNERSHIP
18155105,21073529,Owned-OWNERSHIP
18155105,21380111,Owned-OWNERSHIP
18155105,21380112,Owned-OWNERSHIP
18155105,22054865,Owned-OWNERSHIP
18155105,22221555,Owned-OWNERSHIP
18190502,17781187,Owned-OWNERSHIP
18190502,18189877,Owned-OWNERSHIP
18190502,20805248,Owned-OWNERSHIP
18193570,17786988,Managed-OWNERSHIP
18193570,17801299,Owned-OWNERSHIP
18193570,17815648,Managed-OWNERSHIP
18193570,17823986,Owned-OWNERSHIP
18193570,17844129,Managed-OWNERSHIP
18193570,17846622,Managed-OWNERSHIP
18193570,17847831,Managed-OWNERSHIP
18193570,17869221,Managed-OWNERSHIP
18193570,17871258,Managed-OWNERSHIP
18193570,17900496,Managed-OWNERSHIP
18193570,17995979,Managed-OWNERSHIP
18193570,18054279,Managed-OWNERSHIP
18193570,18069370,Managed-OWNERSHIP
18193570,18077161,Managed-OWNERSHIP
18193570,18082563,Owned-OWNERSHIP
18193570,18104856,Managed-OWNERSHIP
18193570,18112917,Managed-OWNERSHIP
18193570,18127025,Owned-OWNERSHIP
18193570,18131468,Managed-OWNERSHIP
18193570,18192251,Managed-OWNERSHIP
18193570,18192254,Managed-OWNERSHIP
18193570,18193573,Managed-OWNERSHIP
18193570,18194333,Managed-OWNERSHIP
18193570,18194849,Managed-OWNERSHIP
18193570,18194852,Managed-OWNERSHIP
18193570,18199759,Managed-OWNERSHIP
18193570,18200121,Managed-OWNERSHIP
18193570,18200234,Managed-OWNERSHIP
18193570,18219290,Managed-OWNERSHIP
18193570,18219293,Owned-OWNERSHIP
18193570,18230665,Managed-OWNERSHIP
18193570,18230669,Managed-OWNERSHIP
18193570,18236803,Owned-OWNERSHIP
18193570,18236972,Managed-OWNERSHIP
18193570,18239988,Managed-OWNERSHIP
18193570,18245258,Owned-OWNERSHIP
18193570,18245273,Owned-OWNERSHIP
18193570,18251007,Managed-OWNERSHIP
18193570,18251012,Managed-OWNERSHIP
18193570,18251432,Managed-OWNERSHIP
18193570,18253102,Managed-OWNERSHIP
18193570,18253109,Managed-OWNERSHIP
18193570,18286131,Owned-OWNERSHIP
18193570,18320840,Managed-OWNERSHIP
18193570,18329647,Managed-OWNERSHIP
18193570,18331097,Managed-OWNERSHIP
18193570,18335994,Managed-OWNERSHIP
18193570,18336020,Managed-OWNERSHIP
18193570,18337739,Managed-OWNERSHIP
18193570,18337759,Managed-OWNERSHIP
18193570,18337765,Managed-OWNERSHIP
18193570,18338424,Managed-OWNERSHIP
18193570,18338427,Managed-OWNERSHIP
18193570,18340702,Managed-OWNERSHIP
18193570,18341211,Owned-OWNERSHIP
18193570,18362752,Owned-OWNERSHIP
18193570,19140109,Owned-OWNERSHIP
18193570,19525602,Owned-OWNERSHIP
18193570,19532270,Owned-OWNERSHIP
18193570,20919519,Owned-OWNERSHIP
18200757,992200,Owned-OWNERSHIP
18200757,995257,Owned-OWNERSHIP
18200757,1477759,Owned-OWNERSHIP
18200757,2175945,Owned-OWNERSHIP
18200757,2293895,Owned-OWNERSHIP
18200757,2699228,Owned-OWNERSHIP
18200757,2856002,Owned-OWNERSHIP
18200757,18249269,Owned-OWNERSHIP
18200757,18372364,Owned-OWNERSHIP
18200757,18384747,Owned-OWNERSHIP
18200757,18403354,Owned-OWNERSHIP
18200757,18724860,Owned-OWNERSHIP
18200757,18965345,Owned-OWNERSHIP
18200757,20657829,Owned-OWNERSHIP
18200757,20657842,Owned-OWNERSHIP
18200757,22543770,Owned-OWNERSHIP
18200757,22543771,Owned-OWNERSHIP
18245249,18148690,Owned-OWNERSHIP
18245249,18192658,Owned-OWNERSHIP
18245257,17780090,Owned-OWNERSHIP
18245257,18002443,Owned-OWNERSHIP
18245257,18067556,Owned-OWNERSHIP
18245257,18245282,Owned-OWNERSHIP
18245257,18251017,Owned-OWNERSHIP
18245257,18251451,Owned-OWNERSHIP
18245257,18253113,Owned-OWNERSHIP
18245257,18384400,Owned-OWNERSHIP
18245257,18401907,Owned-OWNERSHIP
18245257,18956792,Owned-OWNERSHIP
18245257,18956793,Owned-OWNERSHIP
18245257,19454663,Owned-OWNERSHIP
18245257,19518132,Owned-OWNERSHIP
18245257,19518636,Owned-OWNERSHIP
18245257,19523026,Owned-OWNERSHIP
18245257,19526680,Owned-OWNERSHIP
18245257,19530590,Owned-OWNERSHIP
18252565,18017489,Owned-OWNERSHIP
18252565,18253085,Owned-OWNERSHIP
18252565,18399943,Owned-OWNERSHIP
18252565,18956787,Owned-OWNERSHIP
18302389,18261554,Owned-OWNERSHIP
18302389,18316457,Owned-OWNERSHIP
18302389,18319748,Owned-OWNERSHIP
18302389,18724164,Owned-OWNERSHIP
18302389,22239477,Owned-OWNERSHIP
18408254,18150781,Owned-OWNERSHIP
18408254,18173576,Owned-OWNERSHIP
18408254,18227503,Owned-OWNERSHIP
18408254,18279683,Owned-OWNERSHIP
18408254,19529045,Owned-OWNERSHIP
