Parent,Child,Relationship,Sub_type
17773619,18157585,Pharma Purchasing,PURCHASING
17773619,18158861,Medsurg Purchasing,PURCHASING
17773619,18158861,Pharma Purchasing,PURCHASING
17773619,18159339,Medsurg Purchasing,PURCHASING
17773619,18159339,Pharma Purchasing,PURCHASING
17773619,18159340,Medsurg Purchasing,PURCHASING
17773619,18159340,Pharma Purchasing,PURCHASING
17773619,18159402,Medsurg Purchasing,PURCHASING
17773619,18160728,Medsurg Purchasing,PURCHASING
17773619,18160728,Pharma Purchasing,PURCHASING
17773619,18161596,Pharma Purchasing,PURCHASING
17773619,18161819,Medsurg Purchasing,PURCHASING
17773619,18161819,Pharma Purchasing,PURCHASING
17773619,18162041,Pharma Purchasing,PURCHASING
17773619,18162704,Medsurg Purchasing,PURCHASING
17773619,18162704,Pharma Purchasing,PURCHASING
17773619,18163334,Pharma Purchasing,PURCHASING
17773619,18166376,Pharma Purchasing,PURCHASING
17773619,18167560,Pharma Purchasing,PURCHASING
17773619,18181552,Medsurg Purchasing,PURCHASING
17773619,18182659,Medsurg Purchasing,PURCHASING
17773619,18182659,Pharma Purchasing,PURCHASING
17773619,18183940,Medsurg Purchasing,PURCHASING
17773619,18183940,Pharma Purchasing,PURCHASING
17773619,18184090,Medsurg Purchasing,PURCHASING
17773619,18188356,Medsurg Purchasing,PURCHASING
17773619,18188356,Pharma Purchasing,PURCHASING
17773619,18189212,Medsurg Purchasing,PURCHASING
17773619,18192254,Medsurg Purchasing,PURCHASING
17773619,18192254,Pharma Purchasing,PURCHASING
17773619,18192255,Medsurg Purchasing,PURCHASING
17773619,18192255,Pharma Purchasing,PURCHASING
17773619,18193573,Medsurg Purchasing,PURCHASING
17773619,18193580,Pharma Purchasing,PURCHASING
17773619,18194333,Medsurg Purchasing,PURCHASING
17773619,18194843,Medsurg Purchasing,PURCHASING
17773619,18194849,Medsurg Purchasing,PURCHASING
17773619,18194849,Pharma Purchasing,PURCHASING
17773619,18194850,Medsurg Purchasing,PURCHASING
17773619,18194852,Medsurg Purchasing,PURCHASING
17773619,18194852,Pharma Purchasing,PURCHASING
17773619,18199752,Medsurg Purchasing,PURCHASING
17773619,18199759,Medsurg Purchasing,PURCHASING
17773619,18199762,Medsurg Purchasing,PURCHASING
17773619,18199765,Pharma Purchasing,PURCHASING
17773619,18200121,Medsurg Purchasing,PURCHASING
17773619,18200230,Medsurg Purchasing,PURCHASING
17773619,18200234,Medsurg Purchasing,PURCHASING
17773619,18200234,Pharma Purchasing,PURCHASING
17773619,18200757,Medsurg Purchasing,PURCHASING
17773619,18203754,Pharma Purchasing,PURCHASING
17773619,18210516,Medsurg Purchasing,PURCHASING
17773619,18210516,Pharma Purchasing,PURCHASING
17773619,18212870,Medsurg Purchasing,PURCHASING
17773619,18212870,Pharma Purchasing,PURCHASING
17773619,18214196,Pharma Purchasing,PURCHASING
17773619,18215533,Medsurg Purchasing,PURCHASING
17773619,18215533,Pharma Purchasing,PURCHASING
17773619,18217755,Pharma Purchasing,PURCHASING
17773619,18218885,Medsurg Purchasing,PURCHASING
17773619,18218885,Pharma Purchasing,PURCHASING
17773619,18221098,Medsurg Purchasing,PURCHASING
17773619,18224337,Pharma Purchasing,PURCHASING
17773619,18225163,Medsurg Purchasing,PURCHASING
17773619,18225163,Pharma Purchasing,PURCHASING
17773619,18225165,Medsurg Purchasing,PURCHASING
17773619,18225165,Pharma Purchasing,PURCHASING
17773619,18225422,Medsurg Purchasing,PURCHASING
17773619,18225422,Pharma Purchasing,PURCHASING
17773619,18225475,Pharma Purchasing,PURCHASING
17773619,18225808,Medsurg Purchasing,PURCHASING
17773619,18227468,Medsurg Purchasing,PURCHASING
17773619,18227468,Pharma Purchasing,PURCHASING
17773619,18227469,Pharma Purchasing,PURCHASING
17773619,18227503,Medsurg Purchasing,PURCHASING
17773619,18230665,Pharma Purchasing,PURCHASING
17773619,18230669,Medsurg Purchasing,PURCHASING
17773619,18230669,Pharma Purchasing,PURCHASING
17773619,18230863,Medsurg Purchasing,PURCHASING
17773619,18235614,Medsurg Purchasing,PURCHASING
17773619,18235614,Pharma Purchasing,PURCHASING
17773619,18236803,Medsurg Purchasing,PURCHASING
17773619,18236972,Pharma Purchasing,PURCHASING
17773619,18239988,Pharma Purchasing,PURCHASING
17773619,18245246,Medsurg Purchasing,PURCHASING
17773619,18245246,Pharma Purchasing,PURCHASING
17773619,18245249,Medsurg Purchasing,PURCHASING
17773619,18245249,Pharma Purchasing,PURCHASING
17773619,18245257,Medsurg Purchasing,PURCHASING
17773619,18245267,Medsurg Purchasing,PURCHASING
17773619,18245273,Medsurg Purchasing,PURCHASING
17773619,18245282,Medsurg Purchasing,PURCHASING
17773619,18247706,Pharma Purchasing,PURCHASING
17773619,18248361,Medsurg Purchasing,PURCHASING
17773619,18248361,Pharma Purchasing,PURCHASING
17773619,18250550,Medsurg Purchasing,PURCHASING
17773619,18251007,Medsurg Purchasing,PURCHASING
17773619,18251012,Medsurg Purchasing,PURCHASING
17773619,18251017,Medsurg Purchasing,PURCHASING
17773619,18251432,Medsurg Purchasing,PURCHASING
17773619,18251432,Pharma Purchasing,PURCHASING
17773619,18251451,Medsurg Purchasing,PURCHASING
17773619,18252560,Medsurg Purchasing,PURCHASING
17773619,18252565,Medsurg Purchasing,PURCHASING
17773619,18252566,Medsurg Purchasing,PURCHASING
17773619,18253073,Medsurg Purchasing,PURCHASING
17773619,18253109,Medsurg Purchasing,PURCHASING
17773619,18253109,Pharma Purchasing,PURCHASING
17773619,18253113,Pharma Purchasing,PURCHASING
17773619,18255978,Medsurg Purchasing,PURCHASING
17773619,18255978,Pharma Purchasing,PURCHASING
17773619,18257131,Medsurg Purchasing,PURCHASING
17773619,18257436,Medsurg Purchasing,PURCHASING
17773619,18257436,Pharma Purchasing,PURCHASING
17773619,18261554,Medsurg Purchasing,PURCHASING
17773619,18261721,Medsurg Purchasing,PURCHASING
17773619,18261721,Pharma Purchasing,PURCHASING
17773619,18266934,Medsurg Purchasing,PURCHASING
17773619,18267513,Medsurg Purchasing,PURCHASING
17773619,18267513,Pharma Purchasing,PURCHASING
17773619,18269259,Medsurg Purchasing,PURCHASING
17773619,18269453,Pharma Purchasing,PURCHASING
17773619,18270577,Medsurg Purchasing,PURCHASING
17773619,18275568,Medsurg Purchasing,PURCHASING
17773619,18275568,Pharma Purchasing,PURCHASING
17773619,18279683,Medsurg Purchasing,PURCHASING
17773619,18279683,Pharma Purchasing,PURCHASING
17773619,18280947,Medsurg Purchasing,PURCHASING
17773619,18286128,Medsurg Purchasing,PURCHASING
17773619,18286128,Pharma Purchasing,PURCHASING
17773619,18286131,Medsurg Purchasing,PURCHASING
17773619,18286212,Medsurg Purchasing,PURCHASING
17773619,18286809,Medsurg Purchasing,PURCHASING
17773619,18291127,Medsurg Purchasing,PURCHASING
17773619,18291127,Pharma Purchasing,PURCHASING
17773619,18299106,Medsurg Purchasing,PURCHASING
17773619,18299106,Pharma Purchasing,PURCHASING
17773619,18302389,Pharma Purchasing,PURCHASING
17773619,18310957,Medsurg Purchasing,PURCHASING
17773619,18310957,Pharma Purchasing,PURCHASING
17773619,18313198,Medsurg Purchasing,PURCHASING
17773619,18313198,Pharma Purchasing,PURCHASING
17773619,18319748,Pharma Purchasing,PURCHASING
17773619,18320600,Pharma Purchasing,PURCHASING
17773619,18320840,Medsurg Purchasing,PURCHASING
17773619,18320840,Pharma Purchasing,PURCHASING
17773619,18329647,Medsurg Purchasing,PURCHASING
17773619,18329647,Pharma Purchasing,PURCHASING
17773619,18331097,Medsurg Purchasing,PURCHASING
17773619,18331099,Medsurg Purchasing,PURCHASING
17773619,18332686,Medsurg Purchasing,PURCHASING
17773619,18335994,Pharma Purchasing,PURCHASING
17773619,18336020,Pharma Purchasing,PURCHASING
17773619,18336766,Pharma Purchasing,PURCHASING
17773619,18337739,Medsurg Purchasing,PURCHASING
17773619,18337739,Pharma Purchasing,PURCHASING
17773619,18337759,Pharma Purchasing,PURCHASING
17773619,18337765,Pharma Purchasing,PURCHASING
17773619,18338424,Medsurg Purchasing,PURCHASING
17773619,18338424,Pharma Purchasing,PURCHASING
17773619,18339756,Pharma Purchasing,PURCHASING
17773619,18340702,Medsurg Purchasing,PURCHASING
17773619,18341211,Medsurg Purchasing,PURCHASING
17773619,18341211,Pharma Purchasing,PURCHASING
17773619,18343555,Pharma Purchasing,PURCHASING
17773619,18350166,Medsurg Purchasing,PURCHASING
17773619,18350166,Pharma Purchasing,PURCHASING
17773619,18362752,Pharma Purchasing,PURCHASING
17773619,18368801,Medsurg Purchasing,PURCHASING
17773619,18369453,Pharma Purchasing,PURCHASING
17773619,18369560,Pharma Purchasing,PURCHASING
17773619,18372364,Medsurg Purchasing,PURCHASING
17773619,18372647,Medsurg Purchasing,PURCHASING
17773619,18372647,Pharma Purchasing,PURCHASING
17773619,18381542,Medsurg Purchasing,PURCHASING
17773619,18381542,Pharma Purchasing,PURCHASING
17773619,18382425,Pharma Purchasing,PURCHASING
17773619,18384400,Medsurg Purchasing,PURCHASING
17773619,18384497,Medsurg Purchasing,PURCHASING
17773619,18384497,Pharma Purchasing,PURCHASING
17773619,18384747,Pharma Purchasing,PURCHASING
17773619,18385886,Pharma Purchasing,PURCHASING
17773619,18388606,Medsurg Purchasing,PURCHASING
17773619,18388606,Pharma Purchasing,PURCHASING
17773619,18389070,Medsurg Purchasing,PURCHASING
17773619,18389070,Pharma Purchasing,PURCHASING
17773619,18395051,Medsurg Purchasing,PURCHASING
17773619,18395552,Medsurg Purchasing,PURCHASING
17773619,18395552,Pharma Purchasing,PURCHASING
17773619,18398344,Pharma Purchasing,PURCHASING
17773619,18398939,Medsurg Purchasing,PURCHASING
17773619,18398939,Pharma Purchasing,PURCHASING
17773619,18399301,Medsurg Purchasing,PURCHASING
17773619,18399301,Pharma Purchasing,PURCHASING
17773619,18399943,Pharma Purchasing,PURCHASING
17773619,18401197,Medsurg Purchasing,PURCHASING
17773619,18402213,Pharma Purchasing,PURCHASING
17773619,18403109,Medsurg Purchasing,PURCHASING
17773619,18403109,Pharma Purchasing,PURCHASING
17773619,18403353,Pharma Purchasing,PURCHASING
17773619,18403354,Pharma Purchasing,PURCHASING
17773619,18403542,Medsurg Purchasing,PURCHASING
17773619,18406737,Medsurg Purchasing,PURCHASING
17773619,18407216,Pharma Purchasing,PURCHASING
17773619,18408254,Medsurg Purchasing,PURCHASING
17773619,18408618,Pharma Purchasing,PURCHASING
17773619,18523679,Pharma Purchasing,PURCHASING
17773619,18724164,Medsurg Purchasing,PURCHASING
17773619,18724164,Pharma Purchasing,PURCHASING
17773619,18724860,Medsurg Purchasing,PURCHASING
17773619,18724860,Pharma Purchasing,PURCHASING
17773619,18725689,Medsurg Purchasing,PURCHASING
17773619,18725689,Pharma Purchasing,PURCHASING
17773619,18737318,Pharma Purchasing,PURCHASING
17773619,18737790,Medsurg Purchasing,PURCHASING
17773619,18740217,Medsurg Purchasing,PURCHASING
17773619,18956775,Medsurg Purchasing,PURCHASING
17773619,18956775,Pharma Purchasing,PURCHASING
17773619,18956777,Pharma Purchasing,PURCHASING
17773619,18956778,Medsurg Purchasing,PURCHASING
17773619,18956778,Pharma Purchasing,PURCHASING
17773619,18956779,Medsurg Purchasing,PURCHASING
17773619,18956779,Pharma Purchasing,PURCHASING
17773619,18956780,Medsurg Purchasing,PURCHASING
17773619,18956780,Pharma Purchasing,PURCHASING
17773619,18956781,Medsurg Purchasing,PURCHASING
17773619,18956781,Pharma Purchasing,PURCHASING
17773619,18956782,Medsurg Purchasing,PURCHASING
17773619,18956782,Pharma Purchasing,PURCHASING
17773619,18956783,Medsurg Purchasing,PURCHASING
17773619,18956783,Pharma Purchasing,PURCHASING
17773619,18956785,Pharma Purchasing,PURCHASING
17773619,18956788,Medsurg Purchasing,PURCHASING
17773619,18956791,Medsurg Purchasing,PURCHASING
17773619,18956792,Pharma Purchasing,PURCHASING
17773619,18956794,Pharma Purchasing,PURCHASING
17773619,18956796,Medsurg Purchasing,PURCHASING
17773619,18956796,Pharma Purchasing,PURCHASING
17773619,18957255,Medsurg Purchasing,PURCHASING
17773619,18957938,Pharma Purchasing,PURCHASING
17773619,18957939,Pharma Purchasing,PURCHASING
17773619,18957950,Medsurg Purchasing,PURCHASING
17773619,18957950,Pharma Purchasing,PURCHASING
17773619,18958991,Medsurg Purchasing,PURCHASING
17773619,18965351,Medsurg Purchasing,PURCHASING
17773619,18965755,Pharma Purchasing,PURCHASING
17773619,18966267,Medsurg Purchasing,PURCHASING
17773619,18966267,Pharma Purchasing,PURCHASING
17773619,18974865,Pharma Purchasing,PURCHASING
17773619,18994649,Pharma Purchasing,PURCHASING
17773619,18995927,Medsurg Purchasing,PURCHASING
17773619,18995927,Pharma Purchasing,PURCHASING
17773619,18997626,Medsurg Purchasing,PURCHASING
17773619,18997626,Pharma Purchasing,PURCHASING
17773619,18997840,Pharma Purchasing,PURCHASING
17773619,19001598,Medsurg Purchasing,PURCHASING
17773619,19003233,Medsurg Purchasing,PURCHASING
17773619,19140109,Pharma Purchasing,PURCHASING
17773619,19241260,Medsurg Purchasing,PURCHASING
17773619,19241260,Pharma Purchasing,PURCHASING
17773619,19242521,Medsurg Purchasing,PURCHASING
17773619,19242521,Pharma Purchasing,PURCHASING
17773619,19316713,Medsurg Purchasing,PURCHASING
17773619,19316713,Pharma Purchasing,PURCHASING
17773619,19370253,Medsurg Purchasing,PURCHASING
17773619,19454663,Medsurg Purchasing,PURCHASING
17773619,19518132,Pharma Purchasing,PURCHASING
17773619,19518636,Medsurg Purchasing,PURCHASING
17773619,19522794,Medsurg Purchasing,PURCHASING
17773619,19522794,Pharma Purchasing,PURCHASING
17773619,19523026,Medsurg Purchasing,PURCHASING
17773619,19523026,Pharma Purchasing,PURCHASING
17773619,19525602,Medsurg Purchasing,PURCHASING
17773619,19525602,Pharma Purchasing,PURCHASING
17773619,19529231,Medsurg Purchasing,PURCHASING
17773619,19529353,Pharma Purchasing,PURCHASING
17773619,19530590,Medsurg Purchasing,PURCHASING
17773619,19530590,Pharma Purchasing,PURCHASING
17773619,19531990,Pharma Purchasing,PURCHASING
17773619,19532231,Pharma Purchasing,PURCHASING
17773619,19532750,Medsurg Purchasing,PURCHASING
17773619,19532750,Pharma Purchasing,PURCHASING
17773619,19533057,Medsurg Purchasing,PURCHASING
17773619,19533057,Pharma Purchasing,PURCHASING
17773619,19533126,Medsurg Purchasing,PURCHASING
17773619,19533126,Pharma Purchasing,PURCHASING
17773619,19582070,Medsurg Purchasing,PURCHASING
17773619,19582070,Pharma Purchasing,PURCHASING
17773619,20413022,Pharma Purchasing,PURCHASING
17773619,20558782,Medsurg Purchasing,PURCHASING
17773619,20657829,Pharma Purchasing,PURCHASING
17773619,20657830,Medsurg Purchasing,PURCHASING
17773619,20657837,Medsurg Purchasing,PURCHASING
17773619,20657837,Pharma Purchasing,PURCHASING
17773619,20657842,Pharma Purchasing,PURCHASING
17773619,20742462,Medsurg Purchasing,PURCHASING
17773619,20760640,Medsurg Purchasing,PURCHASING
17773619,20897214,Medsurg Purchasing,PURCHASING
17773619,20906948,Medsurg Purchasing,PURCHASING
17773619,20907203,Medsurg Purchasing,PURCHASING
17773619,20919519,Pharma Purchasing,PURCHASING
17773619,20961886,Pharma Purchasing,PURCHASING
17773619,20976056,Pharma Purchasing,PURCHASING
17773619,21011287,Medsurg Purchasing,PURCHASING
17773619,21011287,Pharma Purchasing,PURCHASING
17773619,21011779,Medsurg Purchasing,PURCHASING
17773619,21013963,Medsurg Purchasing,PURCHASING
